@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric

@data
3766,'2019/02/12 12:39:54:097',6,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0
3767,'2019/02/12 12:39:54:108',6,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0
3768,'2019/02/12 12:39:54:120',6,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0
3769,'2019/02/12 12:39:54:130',6,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0
3770,'2019/02/12 12:39:54:141',6,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0
3771,'2019/02/12 12:39:54:153',6,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0
3772,'2019/02/12 12:39:54:163',6,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0
3773,'2019/02/12 12:39:54:175',6,16.217123,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,51.753525,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0
3774,'2019/02/12 12:39:54:187',6,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0
3775,'2019/02/12 12:39:54:197',6,4.104702,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,7.960206,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0
